p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0.0,2.5854444300361,1.0,0.66,0.0,0,Lyz2
0.0,2.58213274537396,0.234,0.039,0.0,0,Olfr170
0.0,2.57918217245345,0.471,0.081,0.0,0,Gm40999
0.0,2.52987879115453,0.75,0.137,0.0,0,Bex2
0.0,2.52043738284521,0.289,0.052,0.0,0,Aox4
0.0,2.51855971612906,0.922,0.169,0.0,0,Bex4
0.0,2.51253915246823,0.999,0.303,0.0,0,Cxcl15
0.0,2.50641862216944,0.334,0.063,0.0,0,Tmprss7
0.0,2.5051710638797,0.169,0.029,0.0,0,Sowahb
0.0,2.49981783234469,0.176,0.031,0.0,0,Unc5d
0.0,2.49273511197667,0.192,0.036,0.0,0,Muc19
0.0,2.48646906861693,0.243,0.043,0.0,0,Iyd
0.0,2.48593811883882,0.404,0.067,0.0,0,Rprm
0.0,2.48342547568269,0.859,0.16,0.0,0,Arfgef3
0.0,2.46700072838546,1.0,0.399,0.0,0,Sftpa1
0.0,2.45610954431868,0.305,0.055,0.0,0,Tmem30b
0.0,2.45214972404313,0.15,0.029,0.0,0,BC016579
0.0,2.45160320420873,0.107,0.02,0.0,0,Gm29966
0.0,2.44810507587608,0.269,0.051,0.0,0,Necab2
0.0,2.44720071591978,0.384,0.068,0.0,0,Gdnf
0.0,6.39877414449338,0.833,0.028,0.0,1,Ighd
0.0,6.31679228658368,0.655,0.022,0.0,1,Fcmr
0.0,6.26924878102845,0.991,0.064,0.0,1,Bank1
0.0,6.08772165846056,0.263,0.009,0.0,1,Gm12158
0.0,5.97538837132354,0.148,0.006,0.0,1,Klhl14
0.0,5.93479645295332,0.923,0.034,0.0,1,Pax5
0.0,5.92789056367069,0.974,0.061,0.0,1,Cd79a
0.0,5.77174260485743,0.857,0.06,0.0,1,Gm31243
0.0,5.74304826773332,0.315,0.014,0.0,1,Gm43388
0.0,5.68376228280251,0.47,0.024,0.0,1,Gm16341
0.0,5.61694672883322,0.784,0.029,0.0,1,Ms4a1
0.0,5.56596571973776,0.381,0.017,0.0,1,Cd19
0.0,5.54934337003917,0.999,0.103,0.0,1,Ebf1
0.0,5.45512031662556,0.14,0.008,0.0,1,2010309G21Rik
0.0,5.45351015454327,0.418,0.022,0.0,1,Chst3
0.0,5.44703539750408,0.489,0.025,0.0,1,Fcrl1
0.0,5.37001672387458,0.304,0.014,0.0,1,Cr2
0.0,5.31401115362,0.413,0.03,0.0,1,Fcer2a
0.0,5.26264002843755,0.537,0.04,0.0,1,Fcrla
0.0,5.17711749238099,0.877,0.076,0.0,1,Ly6d
0.0,6.3532797130619,0.999,0.215,0.0,2,Lyz1
0.0,1.63043738843708,0.114,0.032,0.0,2,Olfr169
0.0,1.6186772050004,0.43,0.13,0.0,2,Nrn1
0.0,1.61449628302717,0.343,0.101,0.0,2,Pon1
0.0,1.5679503300414,0.672,0.223,0.0,2,Chia1
0.0,1.54448815597134,0.12,0.036,0.0,2,Tdrd5
0.0,1.54348631771304,0.138,0.041,0.0,2,Muc20
1.0734363662193499e-302,1.51578655343834,0.104,0.03,3.46558930833917e-298,2,Gm34240
0.0,1.51572036938798,0.733,0.251,0.0,2,Gm39094
0.0,1.50525857445483,0.109,0.033,0.0,2,Klk13
0.0,1.50094158928554,0.571,0.193,0.0,2,Galnt13
0.0,1.49830026160035,0.278,0.088,0.0,2,Iyd
0.0,1.49775398176776,0.223,0.086,0.0,2,Piwil2
0.0,1.49385190437914,0.33,0.105,0.0,2,Aox4
0.0,1.49305901789813,0.315,0.099,0.0,2,Necab2
0.0,1.48667596909805,1.0,0.47,0.0,2,Cxcl15
0.0,1.4840406753545,0.271,0.083,0.0,2,Olfr170
0.0,1.48290272273086,0.446,0.144,0.0,2,Rprm
0.0,1.48091880245061,0.17,0.056,0.0,2,BC016579
0.0,1.47979684081043,0.8,0.28,0.0,2,Bex2
0.0,7.49714665724577,0.812,0.043,0.0,3,Retnlg
0.0,7.41470142134277,0.4,0.011,0.0,3,Asprv1
0.0,7.38679236418883,0.268,0.005,0.0,3,Ly6g
0.0,7.37560819298363,0.286,0.008,0.0,3,Cstdc4
0.0,7.35520866521048,0.387,0.01,0.0,3,Stfa2l1
0.0,7.31641922566462,0.256,0.006,0.0,3,Mrgpra2b
0.0,7.29435756901522,0.439,0.01,0.0,3,Il1f9
0.0,7.28562364938258,0.42,0.008,0.0,3,Mirt2
0.0,7.28504391196245,0.991,0.186,0.0,3,S100a9
0.0,7.26702441103467,0.815,0.018,0.0,3,Cxcr2
0.0,7.26024150120826,0.11,0.002,0.0,3,Mrgpra2a
0.0,7.19913662363907,0.982,0.128,0.0,3,S100a8
0.0,7.15364215303562,0.121,0.003,0.0,3,Ceacam10
0.0,7.13514189223459,0.204,0.004,0.0,3,Nlrp12
0.0,7.00953284900183,0.887,0.039,0.0,3,Acod1
0.0,6.98858744769949,0.804,0.023,0.0,3,Mmp9
