panel_order,gene,module,spearman,direction,source_panel
1,Lyz1,Module_1,0.141793965251902,up,Figure 7 pseudotime discovery
2,Muc1,Module_1,-0.206165107420999,down,Figure 7 pseudotime discovery
3,Elovl1,Module_1,-0.216040911548709,down,Figure 7 pseudotime discovery
4,Tgoln1,Module_1,-0.219121298942101,down,Figure 7 pseudotime discovery
5,Sftpc,Module_1,-0.219666396853798,down,Figure 7 pseudotime discovery
6,Fth1,Module_1,-0.224172052357779,down,Figure 7 pseudotime discovery
7,Fdps,Module_1,-0.229521705456421,down,Figure 7 pseudotime discovery
8,Itih4,Module_1,-0.236686094469505,down,Figure 7 pseudotime discovery
9,Dbi,Module_1,-0.245042706353106,down,Figure 7 pseudotime discovery
10,Scp2,Module_1,-0.253603127477776,down,Figure 7 pseudotime discovery
11,Scd2,Module_1,-0.264848250184603,down,Figure 7 pseudotime discovery
12,Npc2,Module_1,-0.266727385371239,down,Figure 7 pseudotime discovery
13,Slc34a2,Module_1,-0.280998177021707,down,Figure 7 pseudotime discovery
14,Hp,Module_1,-0.286752481098197,down,Figure 7 pseudotime discovery
15,Lcn2,Module_1,-0.292174146018837,down,Figure 7 pseudotime discovery
16,Lrg1,Module_1,-0.29610875470429,down,Figure 7 pseudotime discovery
17,Fasn,Module_1,-0.296213486656494,down,Figure 7 pseudotime discovery
18,Lyz2,Module_1,-0.310299173964362,down,Figure 7 pseudotime discovery
19,Fabp5,Module_1,-0.332749811623226,down,Figure 7 pseudotime discovery
20,Chil1,Module_1,-0.349483082469491,down,Figure 7 pseudotime discovery
21,Scd1,Module_1,-0.615581907616234,down,Figure 7 pseudotime discovery
22,Gclc,Module_2,0.186512453344711,up,Figure 7 pseudotime discovery
23,Malat1,Module_2,0.167416724792872,up,Figure 7 pseudotime discovery
24,Neat1,Module_2,0.124485082495711,up,Figure 7 pseudotime discovery
25,Sqstm1,Module_2,0.105399432682176,up,Figure 7 pseudotime discovery
26,S100a6,Module_3,0.176614523603845,up,Figure 7 pseudotime discovery
27,Anxa1,Module_3,0.164746271336483,up,Figure 7 pseudotime discovery
28,Areg,Module_3,0.151857523985373,up,Figure 7 pseudotime discovery
29,Anxa5,Module_3,0.146669507980056,up,Figure 7 pseudotime discovery
30,Tpm1,Module_3,0.143251453317991,up,Figure 7 pseudotime discovery
31,Ndnf,Module_3,0.133466409823239,up,Figure 7 pseudotime discovery
32,Anxa3,Module_3,0.126248584503561,up,Figure 7 pseudotime discovery
33,Lhfp,Module_3,0.122166553524342,up,Figure 7 pseudotime discovery
34,Myc,Module_3,0.114865801747534,up,Figure 7 pseudotime discovery
35,F3,Module_3,0.10988201748875,up,Figure 7 pseudotime discovery
36,Sprr1a,Module_3,0.107716911235678,up,Figure 7 pseudotime discovery
37,Emp1,Module_3,0.104619178147938,up,Figure 7 pseudotime discovery
38,Cdh13,Module_3,0.103555031319917,up,Figure 7 pseudotime discovery
39,Krt19,Module_3,0.0989176989467056,up,Figure 7 pseudotime discovery
40,Arhgdig,Module_3,0.0954589323972088,up,Figure 7 pseudotime discovery
